tweets	sentiment	topics
@DesmoulinsMarat @JeromeAdamsMD @jannaherbison Oh I see, trying to distort the reasoning that sits behind why you commented in the first instance.   In your Twitter feed you say anything you can to undermine the severity of COVID-19 and the credibility, and validity of public health responses to the pandemic.	1	3
@meshrodes @ilikebigdecks It's not about what she's saying is wrong. She's using cancer as a gateway to covid. She could've chose a different route, but cancer isn't it. Cancer isn't something that requires shutting things down.	1	5
I keep getting in awkward conversations where ppl complain to me about the inconvenience of having to quarantine kids after positive cases in schools/daycares/etc.   Like, "yes, *inconvenient*! But...we're all still trying to avoid exposing kids to COVID, right? RIGHT?!?"	1	3
Would be a neat @CFL history tidbit with a sequence of the two longest #CFL #GreyCup droughts winning in back-to-back seasons after a pandemic hiatus.  #Bombers #Ticats #CFLPlayoffs	0	7
@Justin26750505 @_Mikewatson_ @DGWilkinson @Telegraph 'Australia did nothing but fight back against their Covid measures'? Did you actually think that made sense when you wrote it?  You're still making no sense  Australia Covid deaths - 79 per million  USA Covid deaths - 2,523 per million  Which countries dismisses Covid as flu?	-1	3
Televangelist's death highlights Christian media's vaccine problem https://t.co/WbWJu9Nyvd  That’s just one of Christian medias problems given how far their grifters have slid their congregations to the right.	1	1
7 new COVID cases found on cruise ship docked in New Orleans, one probable omicron infection detected https://t.co/Sult7ddcYr via @nolanews	0	2
@LisaMad51841015 @FakePols @TaraSetmayer Police forces need to be fixed and it's our job to fix them.  But the problem is much bigger. Judges and juries let murderers go free using a law that's not on the books called qualified immunity. It means they can't be guilty if their crime happened at work.	0	8
@mtgreenee Yeah and what prevents those viruses that can cause cancer....a vaccine!!! 🤦‍♀️ But keep talking......	-1	1
@FrappuccinoSlim @DavMicRot Its not hard to believe the libs who like what he’s done would only make up in the high 30% range in terms of approval. The independents &amp; Republican leaners who voted for him because he wasn’t Trump never wanted him to do much of anything, besides maybe fix Covid.	0	4
@richolmestwit Unless you know someone that it’s proven was killed by the vaccine and the vaccine alone then, yeah, it’s just a bad reaction	1	1
@freethought202 @williamshortcon According to CDC 'long covid' is lasting from a few days to 4 weeks so far. If a person (esp kids) have been vaxed then catch covid or catch covid then get vaxed....long covid is more likely...so maybe it's not even long covid..it could be a reaction to covid+vaccination.	0	5
since their break in 2019, bts have been working nonstop on music, performances, and content we saw or are yet to see. during the pandemic, they still worked as hard to comfort and entertain people. they deserve this break, and to spend the holidays with their families 🥺	1	7
@MayoIsSpicyy My view exactly.   I give permission to 2 kids to cut through our property instead of walking on any roads. They saw me and asked what i thought of COVID-19 vaccinations   We had a great conversation because they want it and their parents said NO	0	1
lol the GOP is the pro-death party   https://t.co/VCUoouomuo https://t.co/DAjWK0XNCI	1	4
@POTUS With all  due respect sir ...We need more than vaccines..We need everyone to wear a mask and other measures ...And sir you need to have a long talk with Abbott he is in authoritarian mode and  aren't you the president of Texas too ? And sir we need the Novavax vaccine.	1	3
@nurse_gracie_pi @nicunurse1 This is beyond just COVID numbers.  Demand is WAY up and shipping costs are outrageous.  Our hospital is full and it's barely anything to do with COVID.  We really need to produce more products here in the USA!	0	4
Hi I’m one of those people. Did well in school, got a PhD, &amp; had my coping mechanisms (I didn’t know they were coping mechanisms) fall apart with covid. https://t.co/aJdKULpiLg	-1	6
@CNN @davidaxelrod @marctshort THE REALITY IS THE COVID ROADS HAVE LACKED REPAIRS THERE ARE SO MAMY POTHOLES THAT NEED FIXING AND THE SNOW HAS NOT EVEN FALLEN MARCH ROADS ARE GONNA BE SO BAD AFTER ALL THE SALTING AND ICING	-1	3
@GoatyMcTroll @Hierakonpolis3 @Timcast average covid death is 85 year old fuck off already. How many YEARS of life are being lost to covid. That's the real metric. And it's probably around 1 month per person on average or something ridiculously small.	-1	2
The Independent: What are the new Covid travel rules and why has Nigeria been added to red list?. https://t.co/ynSrDhFncx  via @GoogleNews	0	3
#illinois reports almost 19,000 #COVID19 cases.  Not sure if that is holiday backlog or what but it is a record https://t.co/E7myoB3hLe	0	6
FREE TO READ | The omicron variant has spread to about one-third of U.S. states. #COVID19 #OmicronVariant #Omicron https://t.co/L3t9ORFsG2	0	2
Wherever they go, their hometown will always be special for them. I salute them for this and I understand. I felt a little bit jealous thinking that I might not be there experiencing their concert but it’s okay. Time heals and only time can decide (referring to the pandemic). https://t.co/gUL70C1DZU	1	7
@uche_blackstock How hard is it to get a ped vaccine appointment and what are wait times like? Here getting an appt is not so bad, but some of the pharmacies are backed up so you have to wait an hour with your kid who’s nervous about a shot, which is not ideal.	0	1
So if you're a FOREIGNER who got your COVID-19 vaxx abroad, SoKor won't recognize it. But if you're Korean who ALSO got jabbed abroad, that's fine? Sounds xenophobic to me.	-1	3
Twitter is f'cking sick. It is banning a video shot inside an Australian #Covid internment camp. The American fascists are in league with the Australian fascists.	-1	4
@ccrask @mhdksafa Had a client a few years ago with a family member growing Diphtheria on a healing skin graft. We boosted the whole family with DTP! #vaccine #VaccinesSaveLives	0	8
Covid-19 scrambles big medtech's spending #MedTech via https://t.co/zJ8ujdgW4g https://t.co/zMWAlb9oh3	0	4
the boys didn’t even take a break amidst the pandemic but kept on working non stop to cheer us up during the dark times and even after that so when i say this is WELL DESERVED I MEAN IT @BTS_twt stay safe, stay warm, get lots of sleep and enjoy the holidays	1	7
